foodtype,menu,language,location,day,source,price
Pizza & Co,Pizza Margherita Pizza Speciale,german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,Pizza Margherita Pizza Speciale,german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Gebratene Eiernudeln mit Gemüse | Tofu oder Putenfleisch | Teriyaki oder Süss-Sauer Sauce A,C,F,L,H,O",german,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Klare Gemüsesuppe | Einlage A,C,G,L",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Klare Gemüsesuppe | Einlage A,C,G,L",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Tortilla mit Gemüsefülle | Chilireis A,L",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Gebackenes Hühnerschnitzel | Petersilkartoffel A,C,G",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
,"Gebackenes Hühnerschnitzel | Petersilkartoffel A,C,G",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,XXX,german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,,german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Bao Buns Pulled Pork oder Planted Pulled BBQ A,F,G",german,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Kartoffelcremesuppe A,L",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Kartoffelcremesuppe A,L",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Hausgemachter Kartoffelstrudel | Rahmgemüse A,C,G,L",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Schweinsgulasch | Spiralen | Sauerrahm A,C,G,L",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
,"Schweinsgulasch | Spiralen | Sauerrahm A,C,G,L",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,Pizza Margherita Pizza Speciale,german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Mensa Burger | Pommes Beef oder Planted 'Crispy Chicken style' A,G",german,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Klare Gemüsesuppe | Einlage A,C,G,L",german,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Klare Gemüsesuppe | Einlage A,C,G,L",german,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Griechisches Ofengemüse | Kräuterreis | Tzatziki G,L",german,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Gebackener Seelachs | Petersil-Erdäpfel | Sc. Tartare A,C,D,G,M",german,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
,"Gebackener Seelachs | Petersil-Erdäpfel | Sc. Tartare A,C,D,G,M",german,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,german,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,Pizza Margherita Pizza Speciale,german,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Hausgemachte Pasta (A) Hausgemachte Gnocchi (A,C,G) wahlweise Tomatensauce oder Pesto Rinder Bolognese Aufpreis",german,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,Food Waste Day,german,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Clear vegetable soup |Inlay A, C, G, L",english,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,According to the daylike,english,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Gratinated cheese spaetzle |Chives |RöstWiebel A, C, G, L",english,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Fried chicken fillet |Rice |Spring grilled vegetables |Kerbel cream sauce a, g, l",english,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
,"Fried chicken fillet |Rice |Spring grilled vegetables |Kerbel cream sauce a, g, l",english,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,english,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,,english,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Homemade pasta (a) homemade gnocchi (a, c, g) optionally tomato sauce or pesto cattle bolognese surcharge",english,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Sous video organic pork fillet |Fried wild garlic gnocchi |Glaced carrots |Pepper sauce A, C, G, O",english,Mensa,1,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Garlic cream soup a, l",english,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Garlic cream soup a, l",english,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,Italian vegetable stew |Ciabatta A,english,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Penne |Schinken- cream sauce |Parmesan A, G, L",english,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
,"Penne |Schinken- cream sauce |Parmesan A, G, L",english,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,english,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,Pizza Margherita Pizza Speciale,english,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Homemade pasta (a) homemade gnocchi (a, c, g) optionally tomato sauce or pesto cattle bolognese surcharge",english,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Fried egg noodles with vegetablesTofu or turkey meat |Teriyaki or sweet-sauer sauce a, c, f, l, h, o",english,Mensa,2,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Clear vegetable soup |Inlay A, C, G, L",english,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Clear vegetable soup |Inlay A, C, G, L",english,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Tortilla with vegetable filling |Chilireis A, L",english,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Baked chicken schnitzel |Petersil potato A, C, G",english,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
,"Baked chicken schnitzel |Petersil potato A, C, G",english,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,XXX,english,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,,english,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Homemade pasta (a) homemade gnocchi (a, c, g) optionally tomato sauce or pesto cattle bolognese surcharge",english,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Bao Buns Pulled Pork or Planted Pulled BBQ A, F, G",english,Mensa,3,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Potato cream soup a, l",english,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Potato cream soup a, l",english,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Homemade potato strudel |Frame vegetables A, C, G, L",english,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Swein goulash |Spirals |SauerRahm a, c, g, l",english,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
,"Swein goulash |Spirals |SauerRahm a, c, g, l",english,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,english,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,Pizza Margherita Pizza Speciale,english,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Homemade pasta (a) homemade gnocchi (a, c, g) optionally tomato sauce or pesto cattle bolognese surcharge",english,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,"Cafeteria burger |French fries beef or planted 'crispy chicken style' a, g",english,Mensa,4,https://www.wumensa.at/menuplan-deutsch,
Tagesuppe,"Clear vegetable soup |Inlay A, C, G, L",english,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Soup Deal,"Clear vegetable soup |Inlay A, C, G, L",english,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Powered by plants 100% plant based or Veggie,"Greek oven vegetables |Herb rice |Tzatziki g, l",english,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Meaty,"Baked salmon |Petersil Erdäpfel |Sc.Tartare A, C, D, G, M",english,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
,"Baked salmon |Petersil Erdäpfel |Sc.Tartare A, C, D, G, M",english,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Pizza & Co,Pizza Margherita Pizza Speciale,english,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Bowls & Co,Pizza Margherita Pizza Speciale,english,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Pasta & Co,"Homemade pasta (a) homemade gnocchi (a, c, g) optionally tomato sauce or pesto cattle bolognese surcharge",english,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Global & Grill,Food Waste Day,english,Mensa,5,https://www.wumensa.at/menuplan-deutsch,
Veggie,"Bohnen-Chili:Bohnen- und Paprika-Chili auf gedämpftem Reis, Salat, Tortilla-Chips, Käse und Sauerrahm",german,Library,1,https://lia.coffee,10.50
Veggie,"Bean Chili: Beans and Bell Peppers chili on top of Steamed Rice, Lettuce, Tortilla Chips, Cheese, and Sour Cream (A, G)VEGGIE€ 10,50",english,Library,1,https://lia.coffee,10.50
Meat,"Chili con Carne:Bohnen- und Hackfleisch-Chili auf gedämpftem Reis, Salat, Tortilla-Chips, Käse und Sauerrahm",german,Library,1,https://lia.coffee,10.50
Meat,"Chili con Carne: Beans and Minced Beef chili on top of Steamed Rice, Lettuce, Tortilla Chips, Cheese, and Sour Cream (A, G)MEAT€ 10,50",english,Library,1,https://lia.coffee,10.50
Veggie,"Rotes Thai-Curry:Tofu, Paprika, Zucchini und Babymais mit Basmatireis und Naan",german,Library,2,https://lia.coffee,10.50
Veggie,"Red Thai Curry: Tofu, Paprika, Zucchini, and Baby-Corn with Basmati-Rice and Naan (A, F, L)VEGGIE€ 10,50",english,Library,2,https://lia.coffee,10.50
Meat,"Chicken Tikka-Masala:Basmatireis, Koriander und Naan",german,Library,2,https://lia.coffee,10.50
Meat,"Chicken Tikka-Masala: Basmati-Rice, Coriander and Naan (A, F, L)MEAT€ 10,50",english,Library,2,https://lia.coffee,10.50
Veggie,"Teriyaki-Tofu-Quinoa-Bowl:Teriyaki-marinierter gebratener Tofu, Quinoa, Brokkoli, Karotten und scharfe Mayonnaise",german,Library,3,https://lia.coffee,10.50
Veggie,"Teriyaki Tofu-Quinoa Bowl: Teriyaki-marinated-fried Tofu, Quinoa, Broccoli, Carrots and Spicy Mayo (A, F, G, M)VEGGIE€ 10,50",english,Library,3,https://lia.coffee,10.50
Meat,"Teriyaki-Kabeljau-Quinoa-Bowl:Teriyaki-marinierter gebratener Kabeljau, Quinoa, Brokkoli, Karotten und scharfe Mayonnaise",german,Library,3,https://lia.coffee,10.50
Meat,"Teriyaki Cod-Quinoa Bowl: Teriyaki-marinated-fried Cod, Quinoa, Broccoli, Carrots with Spicy Mayo (A, D, G, M)MEAT€ 10,50",english,Library,3,https://lia.coffee,10.50
Veggie,"Cremige Spinat-Gnocchi:Geröstete Champignons, Ziegenkäse, geröstete Tomaten und Rucola",german,Library,4,https://lia.coffee,10.50
Veggie,"Creamy Spinach Gnocchi: Roasted Mushroom, Goat Cheese, Roasted Tomato and Rucola (A, G)VEGGIE€ 10,50",english,Library,4,https://lia.coffee,10.50
Meat,"Coq au Vin:Französischer Rotwein-Hühnereintopf mit Champignons und Perlzwiebeln, dazu gedämpfte Kartoffeln",german,Library,4,https://lia.coffee,10.50
Meat,"Coq Au Vin: French Red Wine and Chicken Stew with Mushrooms and Pearl Onion, with Steamed Potatoes (A, C, F, G, L)MEAT€ 10,50",english,Library,4,https://lia.coffee,10.50
Veggie,Kücheninspiration: Das heutige Menü wird spontan vom Koch zusammengestellt,german,Library,5,https://lia.coffee,10.50
Veggie,"Kitchen Inspiration: today´s menu will be crafted spontaneously by the ChefVEGGIE€ 10,50MEAT€ 10,50",english,Library,5,https://lia.coffee,10.50
Soup,,german,Finn,1,https://finn.wien/collections/mittagsmenu,
M1,,german,Finn,1,https://finn.wien/collections/mittagsmenu,
M2,,german,Finn,1,https://finn.wien/collections/mittagsmenu,
M1,,german,Finn,1,https://finn.wien/collections/mittagsmenu,
M2,,german,Finn,1,https://finn.wien/collections/mittagsmenu,
Soup,,german,Finn,3,https://finn.wien/collections/mittagsmenu,
M1,,german,Finn,3,https://finn.wien/collections/mittagsmenu,
M2,,german,Finn,3,https://finn.wien/collections/mittagsmenu,
Soup,,german,Finn,4,https://finn.wien/collections/mittagsmenu,
M1,,german,Finn,4,https://finn.wien/collections/mittagsmenu,
M2,,german,Finn,4,https://finn.wien/collections/mittagsmenu,
Soup,,german,Finn,5,https://finn.wien/collections/mittagsmenu,
M1,,german,Finn,5,https://finn.wien/collections/mittagsmenu,
M2,,german,Finn,5,https://finn.wien/collections/mittagsmenu,
M3,,german,Finn,1,https://finn.wien/collections/mittagsmenu,
M3,,german,Finn,2,https://finn.wien/collections/mittagsmenu,
M3,,german,Finn,3,https://finn.wien/collections/mittagsmenu,
M3,,german,Finn,4,https://finn.wien/collections/mittagsmenu,
M3,,german,Finn,5,https://finn.wien/collections/mittagsmenu,
ASIA BOX TO GO,,german,Finn,1,https://finn.wien/collections/mittagsmenu,
ASIA BOX TO GO,,german,Finn,2,https://finn.wien/collections/mittagsmenu,
ASIA BOX TO GO,,german,Finn,3,https://finn.wien/collections/mittagsmenu,
ASIA BOX TO GO,,german,Finn,4,https://finn.wien/collections/mittagsmenu,
ASIA BOX TO GO,,german,Finn,5,https://finn.wien/collections/mittagsmenu,
Soup,,english,Finn,1,https://finn.wien/collections/mittagsmenu,
M1,,english,Finn,1,https://finn.wien/collections/mittagsmenu,
M2,,english,Finn,1,https://finn.wien/collections/mittagsmenu,
M1,,english,Finn,1,https://finn.wien/collections/mittagsmenu,
M2,,english,Finn,1,https://finn.wien/collections/mittagsmenu,
Soup,,english,Finn,3,https://finn.wien/collections/mittagsmenu,
M1,,english,Finn,3,https://finn.wien/collections/mittagsmenu,
M2,,english,Finn,3,https://finn.wien/collections/mittagsmenu,
Soup,,english,Finn,4,https://finn.wien/collections/mittagsmenu,
M1,,english,Finn,4,https://finn.wien/collections/mittagsmenu,
M2,,english,Finn,4,https://finn.wien/collections/mittagsmenu,
Soup,,english,Finn,5,https://finn.wien/collections/mittagsmenu,
M1,,english,Finn,5,https://finn.wien/collections/mittagsmenu,
M2,,english,Finn,5,https://finn.wien/collections/mittagsmenu,
M3,,english,Finn,1,https://finn.wien/collections/mittagsmenu,
M3,,english,Finn,2,https://finn.wien/collections/mittagsmenu,
M3,,english,Finn,3,https://finn.wien/collections/mittagsmenu,
M3,,english,Finn,4,https://finn.wien/collections/mittagsmenu,
M3,,english,Finn,5,https://finn.wien/collections/mittagsmenu,
ASIA BOX TO GO,,english,Finn,1,https://finn.wien/collections/mittagsmenu,
ASIA BOX TO GO,,english,Finn,2,https://finn.wien/collections/mittagsmenu,
ASIA BOX TO GO,,english,Finn,3,https://finn.wien/collections/mittagsmenu,
ASIA BOX TO GO,,english,Finn,4,https://finn.wien/collections/mittagsmenu,
ASIA BOX TO GO,,english,Finn,5,https://finn.wien/collections/mittagsmenu,
Vegetarisch,Tagliatellean cremiger Gemüse-Sauce (ACGLO),german,Glashaus,1,https://www.dasglashaus.at/menues,13.90
Fisch & Fleisch,Gebratene Hühnerkeulemit Erbsenreis und Natursaft (LO),german,Glashaus,1,https://www.dasglashaus.at/menues,14.90
Vegetarisch,Serviettenködelmit cremiger Schwammerl-Sauce (ACGLO),german,Glashaus,2,https://www.dasglashaus.at/menues,13.90
Fisch & Fleisch,Honig-Sesam-Hendlmit Wokgemüse und Basmati Reis (AFGN),german,Glashaus,2,https://www.dasglashaus.at/menues,14.90
Vegetarisch,Gemüse-Tofu-Eintopfmit Basmati Reis (FLO),german,Glashaus,3,https://www.dasglashaus.at/menues,13.90
Fisch & Fleisch,Cordon Bleumit Ofenerdäpfel und Preiselbeeren (ACGLO),german,Glashaus,3,https://www.dasglashaus.at/menues,14.90
Vegetarisch,Cremige Gnocchimit Kürbis (AGLO),german,Glashaus,4,https://www.dasglashaus.at/menues,13.90
Fisch & Fleisch,Schweinsgeschnetzeltes Stroganoffmit Reis (GMLO),german,Glashaus,4,https://www.dasglashaus.at/menues,14.90
Vegetarisch,Kürbis-Linsen-Currymit Basmati Reis (LO),german,Glashaus,5,https://www.dasglashaus.at/menues,13.90
Fisch & Fleisch,Gebratenes Seelachsfiletmit Salzeräpfeln (AGD),german,Glashaus,5,https://www.dasglashaus.at/menues,14.90
Vegetarisch,Tagliatellean creamy vegetable sauce (aclo),english,Glashaus,1,https://www.dasglashaus.at/menues,13.90
Fisch & Fleisch,Fried chicken monitors' rice and natural juice (LO),english,Glashaus,1,https://www.dasglashaus.at/menues,14.90
Vegetarisch,Napkin dumplings with creamy mushroom sauce (aclo),english,Glashaus,2,https://www.dasglashaus.at/menues,13.90
Fisch & Fleisch,Honey-Sesame Hendlmit Wok vegetables and Basmati Reis (Afgn),english,Glashaus,2,https://www.dasglashaus.at/menues,14.90
Vegetarisch,Vegetable-Tofu-Steptmit Basmati Reis (Flo),english,Glashaus,3,https://www.dasglashaus.at/menues,13.90
Fisch & Fleisch,Cordon Bleumit stove apples and cranberries (aclo),english,Glashaus,3,https://www.dasglashaus.at/menues,14.90
Vegetarisch,Creamy gnocchimit pumpkin (Aglo),english,Glashaus,4,https://www.dasglashaus.at/menues,13.90
Fisch & Fleisch,Pork -scrolled Stroganoffmit Reis (GMLO),english,Glashaus,4,https://www.dasglashaus.at/menues,14.90
Vegetarisch,Pumpkin lens curry with Basmati Reis (LO),english,Glashaus,5,https://www.dasglashaus.at/menues,13.90
Fisch & Fleisch,Fried pollar fillet with salt apples (AGD),english,Glashaus,5,https://www.dasglashaus.at/menues,14.90
,"Das Campus Hot Stuff only posts their lunch options on Facebook, so please follow the link to your right if you want to access their menu.",,Das Campus Hot Stuff,1,https://www.facebook.com/dchotstuff,
,"Das Campus Hot Stuff only posts their lunch options on Facebook, so please follow the link to your right if you want to access their menu.",,Das Campus Hot Stuff,2,https://www.facebook.com/dchotstuff,
,"Das Campus Hot Stuff only posts their lunch options on Facebook, so please follow the link to your right if you want to access their menu.",,Das Campus Hot Stuff,3,https://www.facebook.com/dchotstuff,
,"Das Campus Hot Stuff only posts their lunch options on Facebook, so please follow the link to your right if you want to access their menu.",,Das Campus Hot Stuff,4,https://www.facebook.com/dchotstuff,
,"Das Campus Hot Stuff only posts their lunch options on Facebook, so please follow the link to your right if you want to access their menu.",,Das Campus Hot Stuff,5,https://www.facebook.com/dchotstuff,
